domain,n_train,n_test,CORE_2D,CORE_3D,PCA_3D,UMAP_3D_handicap,tSNE_3D_handicap
C10_voter,80,20,0.42499999999999993,0.4,0.12500000000000003,0.10000000000000002,0.06500000000000002
C11_quote,80,20,0.315,0.495,0.25999999999999995,0.20000000000000004,0.07000000000000002
C1_ssri,80,20,0.685,0.7000000000000001,0.07500000000000002,0.0,0.01
C2_flu,80,20,0.5200000000000001,0.5650000000000002,0.255,0.10000000000000002,0.01
C3_acetaminophen,80,20,0.37,0.375,0.11500000000000002,0.0,0.0
C4_chemo,80,20,0.445,0.40499999999999997,0.19500000000000003,0.12500000000000003,0.135
C5_5g,80,20,0.395,0.5799999999999998,0.38000000000000006,0.0,0.0
C6_bankruptcy,80,20,0.41000000000000003,0.21000000000000002,0.17500000000000004,0.0,0.0
C7_gmo,80,20,0.45999999999999996,0.48999999999999994,0.425,0.24999999999999994,0.045
C8_asylum,80,20,0.32,0.4,0.11000000000000001,0.29999999999999993,0.4050000000000001
C9_mailin,80,20,0.28500000000000003,0.4,0.02,0.0,0.0
