domain,n_neighbors,min_dist,UMAP_3D_overlap,time_s
C4_chemo,5,0.0,0.046000000000000006,23.4
C4_chemo,5,0.1,0.046000000000000006,5.33
C4_chemo,5,0.5,0.128,5.47
C4_chemo,15,0.0,0.131,9.41
C4_chemo,15,0.1,0.131,9.4
C4_chemo,15,0.5,0.131,9.61
C4_chemo,30,0.0,0.131,14.37
C4_chemo,30,0.1,0.131,12.92
C4_chemo,30,0.5,0.162,13.23
C4_chemo,50,0.0,0.131,15.36
C4_chemo,50,0.1,0.131,18.15
C4_chemo,50,0.5,0.131,18.5
C2_flu,5,0.0,0.0,6.62
C2_flu,5,0.1,0.07399999999999998,6.09
C2_flu,5,0.5,0.0,4.4
C2_flu,15,0.0,0.09899999999999999,10.89
C2_flu,15,0.1,0.09899999999999999,7.5
C2_flu,15,0.5,0.09899999999999999,11.46
C2_flu,30,0.0,0.09899999999999999,14.31
C2_flu,30,0.1,0.09899999999999999,15.08
C2_flu,30,0.5,0.09899999999999999,19.19
C2_flu,50,0.0,0.09899999999999999,20.44
C2_flu,50,0.1,0.09899999999999999,16.9
C2_flu,50,0.5,0.23800000000000004,18.95
